,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel0,5,10,9,10,7,4,"[1348, 1349, 1350, 1351, 1351, 1352, 1353, 1353]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,4,6,180
1,maxModel0,11,5,11,9,3,7,"[1303, 1304, 1304, 1305, 1306, 1307, 1311, 1312, 1313, 1315, 1315, 1316]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 8], [10, 8], [11, 8], [12, 8], [11, 8], [11, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1)]","[7, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",2,4,8,90
2,maxModel0,1,3,1,11,9,7,"[1304, 1304, 1305, 1306, 1307, 1307, 1308, 1310, 1312, 1313, 1314, 1314]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,8,8,270
3,maxModel0,3,8,11,8,7,1,"[1304, 1305, 1305, 1306, 1307, 1310, 1311, 1312, 1313, 1313, 1314]","[(7, 1), [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",0,8,7,180
4,maxModel0,4,8,10,8,7,1,"[1304, 1305, 1306, 1307, 1310, 1310, 1312, 1312, 1313, 1314]","[(7, 1), [7, 2], [7, 3], [7, 4], [7, 5], [8, 5], [8, 6], [8, 7], [9, 7], [9, 8], [10, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[5],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,180
5,maxModel0,4,6,10,6,7,12,"[1303, 1304, 1304, 1305, 1306, 1308, 1309, 1310, 1310]","[(7, 12), [7, 11], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [9, 7], [10, 7], [10, 6]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1)]","[8, 2]","[0, 0, 0, 0, 0, 0, 2, 0, 0]",2,6,6,0
6,maxModel0,12,4,12,10,4,7,"[1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1319, 1320, 1321, 1322]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [10, 7], [11, 7], [11, 8], [11, 9], [12, 9], [12, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 2]",1,6,8,90
7,maxModel0,3,8,11,8,7,2,"[1306, 1309, 1310, 1311, 1312, 1314, 1315, 1316, 1316, 1317, 1318, 1318]","[(7, 2), [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [9, 6], [8, 6], [9, 6], [9, 7], [10, 7], [11, 7], [11, 8]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1)]","[1, 7]","[0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 0]",2,8,6,180
8,maxModel0,3,5,3,9,10,7,"[1305, 1305, 1306, 1306, 1307, 1308, 1308, 1309, 1310]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,270
9,maxModel0,3,9,11,9,7,2,"[1305, 1306, 1307, 1308, 1309, 1311, 1312, 1313, 1313, 1314, 1315]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [3, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]",special,8,7,180
