,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel31,0,5,0,9,6,7,"[1371, 1373, 1373, 1374, 1374, 1375, 1376, 1376]","[(6, 7), [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [0, 7], [0, 8], [0, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]",0,4,6,270
1,maxModel31,5,12,9,12,7,4,"[1303, 1304, 1312, 1313, 1313, 1314, 1315, 1315, 1316, 1316, 1317, 1317, 1318, 1319]","[(7, 4), [7, 5], [7, 6], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [9, 12]]","[(0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]","[8, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,4,8,180
2,maxModel31,3,4,11,4,7,12,"[1303, 1303, 1304, 1305, 1305, 1305, 1306, 1306, 1307, 1307, 1308, 1308]","[(7, 12), [7, 11], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [6, 6], [5, 6], [5, 5], [4, 5], [3, 5], [3, 4]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",1,8,8,0
3,maxModel31,11,3,11,11,4,7,"[1303, 1303, 1304, 1304, 1305, 1305, 1306, 1306, 1306, 1307, 1307]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [11, 10], [11, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",0,8,7,90
4,maxModel31,2,4,2,10,9,7,"[1302, 1302, 1303, 1303, 1304, 1304, 1305, 1306, 1306, 1306, 1307, 1308]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [4, 7], [3, 7], [3, 6], [3, 5], [2, 5], [2, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",1,6,7,270
5,maxModel31,4,2,10,2,7,8,"[1304, 1304, 1305, 1305, 1306, 1306, 1307, 1307, 1308, 1309, 1309]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 3], [8, 3], [9, 3], [9, 2], [10, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (1, 0), (1, 0), (0, -1), (1, 0)]","[6, 7]","[0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 2]",2,6,6,0
6,maxModel31,13,4,13,10,5,7,"[1303, 1303, 1304, 1304, 1304, 1305, 1305, 1306, 1307, 1307, 1308, 1309, 1309]","[(5, 7), [6, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 8], [12, 9], [13, 9], [13, 10]]","[(1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",1,6,8,90
7,maxModel31,3,7,11,7,7,1,"[1303, 1304, 1304, 1304, 1305, 1305, 1306, 1306, 1306, 1307, 1308, 1310, 1310, 1311]","[(7, 1), [7, 2], [7, 1], [7, 2], [7, 3], [7, 4], [7, 3], [7, 4], [7, 5], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [3, 7]]","[(0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[6, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",2,8,6,180
8,maxModel31,5,10,9,10,7,3,"[1305, 1306, 1306, 1306, 1307, 1307, 1308, 1308, 1309]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,180
9,maxModel31,7,3,7,11,0,7,"[1302, 1303, 1304, 1304, 1305, 1308, 1314, 1315, 1315, 1316, 1320]","[(0, 7), [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [7, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]",special,8,7,90
