,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel12,5,4,9,4,7,10,"[1383, 1384, 1385, 1386, 1388, 1389, 1390, 1391]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [8, 4], [9, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]",0,4,6,0
1,maxModel12,5,5,5,9,13,7,"[1308, 1311, 1313, 1314, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [9, 8], [10, 8], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [5, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[6, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,4,8,270
2,maxModel12,5,3,5,11,13,7,"[1305, 1306, 1307, 1308, 1309, 1312, 1313, 1313, 1314, 1315, 1316, 1317]","[(13, 7), [12, 7], [11, 7], [11, 6], [10, 6], [9, 6], [8, 6], [7, 6], [7, 5], [6, 5], [6, 4], [6, 3], [5, 3]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",1,8,8,270
3,maxModel12,3,11,11,11,7,4,"[1305, 1307, 1308, 1309, 1310, 1310, 1312, 1313, 1314, 1315, 1316]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [8, 10], [9, 10], [10, 10], [10, 11], [11, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",0,8,7,180
4,maxModel12,11,4,11,10,4,7,"[1306, 1310, 1313, 1314, 1315, 1316, 1318, 1318, 1320, 1321, 1321, 1322]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [9, 9], [10, 9], [11, 9], [11, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1)]",[9],"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]",1,6,7,90
5,maxModel12,3,4,3,10,9,7,"[1311, 1312, 1314, 1315, 1316, 1318, 1320, 1321, 1322, 1322, 1323]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 6], [3, 5], [4, 5], [3, 5], [3, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (1, 0), (-1, 0), (0, -1)]","[6, 9]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",2,6,6,270
6,maxModel12,4,5,10,5,7,13,"[1315, 1320, 1322, 1327, 1328, 1333, 1336, 1340, 1342, 1342, 1343]","[(7, 13), [7, 12], [7, 11], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [9, 6], [9, 5], [10, 5]]","[(0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,8,0
7,maxModel12,3,8,11,8,7,14,"[1306, 1310, 1311, 1313, 1314, 1315, 1316, 1316, 1317, 1319, 1320, 1321]","[(7, 14), [6, 14], [5, 14], [4, 14], [4, 13], [4, 12], [4, 11], [4, 10], [4, 9], [3, 9], [2, 9], [2, 8], [3, 8]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (1, 0)]","[1, 10]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2,8,6,0
8,maxModel12,4,5,4,9,11,7,"[1308, 1309, 1312, 1312, 1313, 1315, 1317, 1319, 1320]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,270
9,maxModel12,1,3,1,11,8,7,"[1306, 1310, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318]","[(8, 7), [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 9], [2, 10], [1, 10], [1, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 2]",special,8,7,270
