,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel34,2,5,2,9,8,7,"[1363, 1364, 1365, 1365, 1366, 1367, 1368, 1368]","[(8, 7), [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 6], [2, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,4,6,270
1,maxModel34,5,3,9,3,7,11,"[1318, 1319, 1321, 1321, 1322, 1323, 1324, 1324, 1325, 1325]","[(7, 11), [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [5, 7], [5, 6], [5, 5], [5, 4], [5, 3]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[1, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,0
2,maxModel34,3,2,11,2,7,10,"[1304, 1304, 1305, 1305, 1306, 1306, 1307, 1307, 1308, 1308, 1309, 1309, 1310, 1310]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [6, 3], [7, 3], [6, 3], [5, 3], [4, 3], [4, 2], [3, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",1,8,8,0
3,maxModel34,5,3,5,11,12,7,"[1305, 1306, 1307, 1308, 1309, 1309, 1310, 1310, 1311, 1311, 1312]","[(12, 7), [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",0,8,7,270
4,maxModel34,14,4,14,10,7,7,"[1306, 1306, 1308, 1309, 1309, 1310, 1312, 1312, 1313, 1313]","[(7, 7), [8, 7], [9, 7], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8], [13, 9], [14, 9], [14, 10]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,90
5,maxModel34,7,4,7,10,13,7,"[1307, 1308, 1309, 1309, 1310, 1311, 1312, 1315, 1317]","[(13, 7), [13, 8], [12, 8], [12, 9], [11, 9], [10, 9], [9, 9], [8, 9], [7, 9], [7, 10]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 2]",2,6,6,270
6,maxModel34,4,9,10,9,7,1,"[1306, 1309, 1310, 1312, 1313, 1313, 1314, 1314, 1315, 1315, 1316]","[(7, 1), [7, 2], [7, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [5, 8], [5, 9], [4, 9]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,8,180
7,maxModel34,9,3,9,11,3,7,"[1308, 1309, 1309, 1310, 1310, 1311, 1311, 1312, 1313, 1314, 1315, 1315]","[(3, 7), [4, 7], [5, 7], [6, 7], [5, 7], [5, 6], [6, 6], [7, 6], [7, 5], [8, 5], [8, 4], [8, 3], [9, 3]]","[(1, 0), (1, 0), (1, 0), (-1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0)]","[4, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",2,8,6,90
8,maxModel34,2,5,2,9,9,7,"[1303, 1304, 1304, 1305, 1305, 1306, 1306, 1307, 1307]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,270
9,maxModel34,0,3,0,11,7,7,"[1303, 1304, 1305, 1306, 1306, 1307, 1308, 1309, 1309, 1310, 1310]","[(7, 7), [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5], [1, 4], [0, 4], [0, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (0, -1), (-1, 0), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1]",special,8,7,270
