,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel44,5,8,9,8,7,14,"[1378, 1379, 1396, 1396, 1397, 1398, 1399, 1399, 1400, 1400]","[(7, 14), [6, 14], [6, 13], [6, 12], [5, 12], [5, 11], [4, 11], [5, 11], [5, 10], [5, 9], [5, 8]]","[(-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[6, 3]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,4,6,0
1,maxModel44,3,4,11,4,7,11,"[1306, 1307, 1308, 1309, 1309, 1310, 1310, 1311, 1311, 1312, 1313]","[(7, 11), [7, 10], [8, 10], [8, 9], [8, 8], [9, 8], [9, 7], [10, 7], [11, 7], [11, 6], [11, 5], [11, 4]]","[(0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[2],"[0, 1, 0, 0, 2, 0, 2, 2, 0, 0, 0]",1,8,7,0
2,maxModel44,3,0,11,0,7,8,"[1305, 1306, 1306, 1307, 1308, 1308, 1309, 1310, 1310, 1311, 1311, 1312]","[(7, 8), [7, 7], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2], [5, 2], [5, 1], [5, 0], [4, 0], [3, 0]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,8,8,0
3,maxModel44,3,14,11,14,7,8,"[1307, 1307, 1308, 1309, 1309, 1309, 1310, 1311, 1312, 1313]","[(7, 8), [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [4, 14], [3, 14]]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[9],"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]",1,8,6,180
4,maxModel44,3,4,3,10,9,7,"[1308, 1308, 1309, 1310, 1311, 1311, 1312, 1313, 1313, 1314, 1314]","[(9, 7), [8, 7], [7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 8], [4, 9], [4, 10], [3, 10]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0)]","[8, 7]","[0, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0]",2,6,6,270
5,maxModel44,2,4,2,10,9,7,"[1305, 1306, 1307, 1307, 1308, 1309, 1310, 1311, 1311, 1312]","[(9, 7), [9, 8], [9, 9], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [3, 10], [2, 10]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",0,6,7,270
6,maxModel44,12,5,12,9,4,7,"[1307, 1309, 1309, 1312, 1312, 1313, 1314, 1315, 1315, 1317]","[(4, 7), [5, 7], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6], [10, 5], [11, 5], [12, 5]]","[(1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]",[],"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,4,8,90
7,maxModel44,11,4,11,10,3,7,"[1305, 1306, 1307, 1308, 1309, 1310, 1311, 1311, 1312, 1313, 1315, 1315, 1315]","[(3, 7), [3, 6], [3, 5], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [9, 4], [10, 4], [11, 4]]","[(0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0)]",[11],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,6,8,90
8,maxModel44,6,5,6,9,13,7,"[1304, 1305, 1305, 1307, 1308, 1309, 1310, 1310, 1311, 1311, 1312, 1313, 1313]","[(13, 7), [14, 7], [14, 8], [14, 9], [13, 9], [12, 9], [11, 9], [10, 9], [10, 10], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9]]","[(1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[8, 1]","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,7,270
9,maxModel44,14,4,14,10,6,7,"[1304, 1305, 1305, 1306, 1306, 1307, 1308, 1309, 1309, 1310, 1311]","[(6, 7), [6, 6], [6, 5], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4], [14, 4]]","[(0, 1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",special,6,8,90
