,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel5,2,5,2,9,8,7,"[1408, 1455, 1461, 1465, 1470, 1474, 1478, 1482]","[(8, 7), [7, 7], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [3, 5], [2, 5]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[2, 3]","[0, 2, 1, 0, 0, 0, 1, 0]",2,4,6,270
1,maxModel5,2,3,2,11,9,7,"[1307, 1310, 1312, 1315, 1318, 1320, 1323, 1326, 1330, 1333, 1334]","[(9, 7), [9, 6], [9, 5], [8, 5], [7, 5], [6, 5], [6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [2, 3]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[5],"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1,8,7,270
2,maxModel5,3,8,11,8,7,0,"[1311, 1314, 1316, 1320, 1322, 1325, 1328, 1330, 1334, 1337, 1340, 1342]","[(7, 0), [7, 1], [6, 1], [5, 1], [4, 1], [4, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0,8,8,180
3,maxModel5,3,6,11,6,7,0,"[1313, 1316, 1319, 1322, 1325, 1329, 1331, 1333, 1336, 1340, 1343, 1346]","[(7, 0), [8, 0], [9, 0], [10, 0], [10, 1], [10, 2], [11, 2], [11, 3], [11, 4], [11, 5], [10, 5], [10, 6], [11, 6]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (1, 0)]",[10],"[2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2]",1,8,6,180
4,maxModel5,9,4,9,10,3,7,"[1316, 1318, 1321, 1324, 1327, 1330, 1333, 1335, 1338, 1341, 1343]","[(3, 7), [4, 7], [5, 7], [5, 8], [5, 9], [5, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[6, 5]","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",2,6,6,90
5,maxModel5,4,8,10,8,7,1,"[1311, 1315, 1318, 1321, 1327, 1331, 1336, 1339, 1342, 1345]","[(7, 1), [8, 1], [8, 2], [9, 2], [10, 2], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 0, 2, 2, 0, 0, 0, 0, 0, 0]",0,6,7,180
6,maxModel5,9,5,9,9,1,7,"[1311, 1315, 1318, 1321, 1323, 1327, 1330, 1333, 1337, 1340]","[(1, 7), [2, 7], [3, 7], [3, 8], [3, 9], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9]]","[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",0,4,8,90
7,maxModel5,12,4,12,10,4,7,"[1313, 1318, 1323, 1327, 1330, 1333, 1336, 1339, 1345, 1348, 1350, 1353, 1358]","[(4, 7), [5, 7], [5, 6], [6, 6], [6, 5], [7, 5], [7, 4], [8, 4], [9, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4]]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[9],"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,8,90
8,maxModel5,10,5,10,9,3,7,"[1312, 1315, 1319, 1324, 1327, 1333, 1337, 1340, 1344, 1346, 1348]","[(3, 7), [4, 7], [4, 8], [5, 8], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [8, 9], [9, 9], [10, 9]]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0)]","[4, 9]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,7,90
9,maxModel5,12,4,12,10,4,7,"[1317, 1320, 1327, 1331, 1334, 1337, 1341, 1344, 1348, 1351, 1356]","[(4, 7), [5, 7], [6, 7], [6, 8], [6, 9], [6, 10], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [12, 10]]","[(1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[3],"[0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0]",special,6,8,90
