,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel43,3,5,3,9,9,7,"[1367, 1370, 1372, 1374, 1375, 1377, 1405, 1406, 1407, 1408, 1409, 1411]","[(9, 7), [9, 8], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [6, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[8, 7]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,6,270
1,maxModel43,3,11,11,11,7,4,"[1305, 1306, 1307, 1308, 1308, 1309, 1310, 1310, 1311, 1317, 1317, 1318, 1319]","[(7, 4), [7, 5], [8, 5], [8, 6], [9, 6], [9, 7], [10, 7], [10, 8], [11, 8], [11, 9], [10, 9], [11, 9], [11, 10], [11, 11]]","[(0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (-1, 0), (1, 0), (0, 1), (0, 1)]",[10],"[0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 2, 0, 0]",1,8,7,180
2,maxModel43,11,3,11,11,3,7,"[1303, 1304, 1305, 1306, 1306, 1308, 1308, 1309, 1310, 1310, 1311, 1312]","[(3, 7), [3, 8], [3, 9], [4, 9], [5, 9], [5, 10], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11], [11, 11]]","[(0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",0,8,8,90
3,maxModel43,1,3,1,11,7,7,"[1305, 1306, 1306, 1307, 1308, 1308, 1309, 1310, 1310, 1311]","[(7, 7), [7, 6], [7, 5], [7, 4], [6, 4], [5, 4], [4, 4], [4, 3], [3, 3], [2, 3], [1, 3]]","[(0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[7],"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,8,6,270
4,maxModel43,4,6,10,6,7,0,"[1303, 1304, 1305, 1306, 1307, 1307, 1308, 1309, 1309, 1310, 1311]","[(7, 0), [8, 0], [9, 0], [9, 1], [9, 2], [9, 3], [9, 4], [8, 4], [8, 5], [9, 5], [9, 6], [10, 6]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]","[8, 7]","[2, 2, 0, 0, 0, 0, 2, 2, 2, 0, 2]",2,6,6,180
5,maxModel43,4,6,10,6,7,13,"[1302, 1303, 1304, 1306, 1307, 1308, 1310, 1311, 1312, 1313]","[(7, 13), [7, 12], [6, 12], [6, 11], [6, 10], [5, 10], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",0,6,7,0
6,maxModel43,5,1,9,1,7,9,"[1303, 1304, 1305, 1306, 1306, 1307, 1308, 1308, 1309, 1310]","[(7, 9), [6, 9], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [5, 4], [5, 3], [5, 2], [5, 1]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,4,8,0
7,maxModel43,4,2,10,2,7,10,"[1305, 1306, 1307, 1308, 1308, 1309, 1310, 1310, 1311, 1312, 1312, 1313, 1314]","[(7, 10), [7, 9], [7, 8], [8, 8], [8, 7], [9, 7], [9, 6], [10, 6], [10, 7], [10, 6], [10, 5], [10, 4], [10, 3], [10, 2]]","[(0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[8],"[0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0]",1,6,8,0
8,maxModel43,5,7,9,7,7,0,"[1306, 1306, 1308, 1309, 1310, 1310, 1310, 1313, 1314, 1315, 1315]","[(7, 0), [7, 1], [7, 2], [6, 2], [5, 2], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[3, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,4,7,180
9,maxModel43,4,0,10,0,7,8,"[1307, 1307, 1308, 1309, 1311, 1311, 1313, 1314, 1314, 1314, 1315]","[(7, 8), [6, 8], [6, 7], [6, 6], [5, 6], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [4, 1], [4, 0]]","[(1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[1],"[2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",special,6,8,0
