,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel33,4,5,4,9,10,7,"[1406, 1456, 1460, 1463, 1465, 1467, 1472, 1480, 1483, 1487, 1490, 1494]","[(10, 7), [10, 8], [11, 8], [10, 8], [11, 8], [10, 8], [9, 8], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9]]","[(0, 1), (1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[2, 4]","[2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",2,4,6,270
1,maxModel33,3,4,11,4,7,11,"[1310, 1318, 1324, 1332, 1337, 1340, 1346, 1351, 1355, 1359, 1363]","[(7, 11), [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [8, 6], [8, 5], [8, 4], [9, 4], [10, 4], [11, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[5],"[0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2]",1,8,7,0
2,maxModel33,8,3,8,11,0,7,"[1317, 1320, 1325, 1328, 1332, 1336, 1345, 1351, 1355, 1359, 1364, 1368]","[(0, 7), [1, 7], [1, 6], [1, 5], [1, 4], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,8,8,90
3,maxModel33,8,3,8,11,2,7,"[1312, 1316, 1321, 1327, 1331, 1333, 1335, 1337, 1339, 1341]","[(2, 7), [2, 6], [2, 5], [2, 4], [3, 4], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3]]","[(0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[4],"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,8,6,90
4,maxModel33,4,11,10,11,7,5,"[1314, 1318, 1320, 1322, 1324, 1327, 1330, 1332, 1334, 1337, 1341, 1344, 1350]","[(7, 5), [8, 5], [7, 5], [8, 5], [9, 5], [10, 5], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11]]","[(1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[6, 2]","[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,6,180
5,maxModel33,10,4,10,10,3,7,"[1316, 1323, 1327, 1330, 1340, 1343, 1349, 1355, 1360, 1363]","[(3, 7), [4, 7], [4, 8], [4, 9], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [10, 10]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0]",0,6,7,90
6,maxModel33,12,5,12,9,4,7,"[1316, 1322, 1326, 1334, 1339, 1343, 1349, 1352, 1356, 1363]","[(4, 7), [5, 7], [5, 6], [6, 6], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [12, 5]]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0,4,8,90
7,maxModel33,4,12,10,12,7,4,"[1322, 1329, 1335, 1340, 1344, 1348, 1351, 1353, 1363, 1366, 1368, 1371, 1375]","[(7, 4), [8, 4], [8, 5], [9, 5], [9, 6], [9, 7], [10, 7], [10, 8], [10, 9], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1)]",[9],"[2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",1,6,8,180
8,maxModel33,5,8,9,8,7,1,"[1321, 1323, 1327, 1332, 1336, 1338, 1342, 1346, 1350]","[(7, 1), [8, 1], [8, 2], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,7,180
9,maxModel33,6,4,6,10,14,7,"[1319, 1323, 1325, 1331, 1335, 1338, 1342, 1345, 1349, 1353, 1357]","[(14, 7), [14, 6], [13, 6], [13, 5], [12, 5], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4]]","[(0, 1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[1],"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",special,6,8,270
