,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel21,5,5,9,5,7,11,"[1379, 1381, 1383, 1396, 1398, 1399, 1401, 1403, 1404, 1405, 1407, 1408]","[(7, 11), [7, 10], [7, 9], [8, 9], [8, 10], [9, 10], [9, 9], [9, 8], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5]]","[(0, -1), (0, -1), (1, 0), (0, 1), (1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1)]","[4, 8]","[0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",2,4,6,0
1,maxModel21,3,0,11,0,7,7,"[1317, 1321, 1330, 1337, 1349, 1355, 1359, 1367, 1369, 1370, 1374]","[(7, 7), [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [10, 0], [11, 0]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]",[6],"[2, 2, 0, 0, 0, 2, 0, 0, 2, 0, 2]",1,8,7,0
2,maxModel21,3,11,11,11,7,3,"[1312, 1319, 1323, 1329, 1332, 1337, 1341, 1345, 1349, 1351, 1355, 1362]","[(7, 3), [8, 3], [8, 4], [8, 5], [8, 6], [9, 6], [10, 6], [10, 7], [10, 8], [11, 8], [11, 9], [11, 10], [11, 11]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[],"[2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0]",0,8,8,180
3,maxModel21,13,3,13,11,7,7,"[1315, 1319, 1325, 1329, 1336, 1343, 1349, 1355, 1361, 1365]","[(7, 7), [7, 8], [8, 8], [8, 9], [9, 9], [9, 10], [9, 11], [10, 11], [11, 11], [12, 11], [13, 11]]","[(0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[3],"[2, 0, 0, 0, 2, 2, 0, 0, 0, 0]",1,8,6,90
4,maxModel21,4,8,10,8,7,2,"[1316, 1321, 1325, 1330, 1335, 1340, 1344, 1352, 1360, 1363, 1368]","[(7, 2), [7, 3], [6, 3], [5, 3], [4, 3], [4, 4], [4, 5], [4, 6], [3, 6], [4, 6], [4, 7], [4, 8]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (0, 1), (0, 1)]","[4, 8]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,6,180
5,maxModel21,4,7,10,7,7,14,"[1319, 1322, 1326, 1332, 1338, 1341, 1346, 1350, 1355, 1358]","[(7, 14), [6, 14], [6, 13], [5, 13], [5, 12], [4, 12], [4, 11], [4, 10], [4, 9], [4, 8], [4, 7]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",0,6,7,0
6,maxModel21,5,8,9,8,7,0,"[1314, 1324, 1327, 1331, 1335, 1341, 1346, 1350, 1354, 1361]","[(7, 0), [7, 1], [7, 2], [7, 3], [8, 3], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 2, 2, 0, 0, 0, 0, 0]",0,4,8,180
7,maxModel21,4,1,10,1,7,9,"[1312, 1316, 1322, 1324, 1328, 1330, 1334, 1338, 1346, 1351, 1356, 1362, 1364]","[(7, 9), [7, 8], [6, 8], [6, 7], [5, 7], [5, 6], [4, 6], [4, 5], [4, 4], [4, 3], [4, 2], [3, 2], [4, 2], [4, 1]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (0, -1)]",[11],"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,8,0
8,maxModel21,5,10,9,10,7,3,"[1317, 1320, 1324, 1329, 1333, 1339, 1343, 1348, 1354, 1358, 1362, 1366, 1370]","[(7, 3), [6, 3], [6, 2], [6, 1], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10]]","[(-1, 0), (0, -1), (0, -1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[2, 3]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,7,180
9,maxModel21,4,13,10,13,7,5,"[1318, 1322, 1328, 1334, 1337, 1343, 1347, 1351, 1355, 1359, 1363]","[(7, 5), [7, 6], [7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [4, 13]]","[(0, 1), (0, 1), (1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[3],"[0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0]",special,6,8,180
