,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel19,5,12,9,12,7,6,"[1593, 1595, 1596, 1598, 1600, 1601, 1602, 1605, 1606, 1608, 1611, 1612]","[(7, 6), [7, 5], [8, 5], [8, 6], [9, 6], [9, 7], [9, 8], [9, 9], [8, 9], [8, 10], [8, 11], [9, 11], [9, 12]]","[(0, -1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]","[1, 8]","[2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]",2,4,6,180
1,maxModel19,3,12,11,12,7,5,"[1312, 1320, 1325, 1329, 1336, 1341, 1345, 1350, 1355, 1358, 1363, 1373, 1376]","[(7, 5), [8, 5], [9, 5], [10, 5], [10, 6], [11, 6], [11, 7], [11, 8], [11, 9], [11, 10], [11, 11], [10, 11], [11, 11], [11, 12]]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (0, 1)]",[11],"[2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]",1,8,7,180
2,maxModel19,3,3,3,11,11,7,"[1317, 1320, 1328, 1334, 1339, 1344, 1349, 1352, 1357, 1366, 1371, 1376]","[(11, 7), [11, 6], [10, 6], [10, 5], [9, 5], [8, 5], [8, 4], [7, 4], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,8,8,270
3,maxModel19,14,3,14,11,8,7,"[1652, 1761, 1860, 1861, 1864, 1865, 1867, 1868, 1870, 1871, 1874, 1875]","[(8, 7), [9, 7], [10, 7], [10, 6], [11, 6], [11, 5], [11, 6], [12, 6], [12, 5], [13, 5], [13, 4], [13, 3], [14, 3]]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0)]",[6],"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",1,8,6,90
4,maxModel19,4,11,10,11,7,5,"[1318, 1324, 1328, 1331, 1336, 1341, 1344, 1348, 1352, 1356, 1360]","[(7, 5), [8, 5], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [9, 9], [9, 10], [9, 11], [10, 11]]","[(1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0)]","[2, 5]","[2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2]",2,6,6,180
5,maxModel19,4,4,4,10,11,7,"[1321, 1328, 1332, 1334, 1339, 1341, 1345, 1350, 1356, 1361]","[(11, 7), [10, 7], [10, 8], [10, 9], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0]",0,6,7,270
6,maxModel19,13,5,13,9,5,7,"[1313, 1322, 1326, 1333, 1338, 1342, 1345, 1349, 1354, 1358]","[(5, 7), [6, 7], [6, 8], [7, 8], [8, 8], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9], [13, 9]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0]",0,4,8,90
7,maxModel19,9,4,9,10,1,7,"[1313, 1317, 1322, 1328, 1333, 1337, 1343, 1347, 1351, 1353, 1359, 1362, 1366]","[(1, 7), [2, 7], [2, 6], [3, 6], [3, 5], [4, 5], [4, 4], [5, 4], [5, 5], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, 1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[8],"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,6,8,90
8,maxModel19,9,5,9,9,2,7,"[1320, 1329, 1334, 1339, 1343, 1347, 1352, 1355, 1359, 1366, 1371]","[(2, 7), [2, 8], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [6, 8], [6, 9], [7, 9], [8, 9], [9, 9]]","[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]","[7, 1]","[1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]",2,4,7,90
9,maxModel19,12,4,12,10,4,7,"[1320, 1324, 1328, 1332, 1337, 1341, 1344, 1349, 1358, 1363, 1373]","[(4, 7), [4, 8], [4, 9], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [10, 10], [11, 10], [12, 10]]","[(0, -1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",special,6,8,90
