,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel8,5,9,9,9,7,3,"[1590, 1593, 1593, 1595, 1613, 1615, 1616, 1619, 1619, 1622]","[(7, 3), [8, 3], [8, 4], [9, 4], [9, 5], [10, 5], [10, 6], [10, 7], [9, 7], [9, 8], [9, 9]]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]","[7, 5]","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0]",2,4,6,180
1,maxModel8,3,4,11,4,7,11,"[1311, 1314, 1318, 1322, 1325, 1329, 1333, 1338, 1342, 1346, 1348]","[(7, 11), [6, 11], [6, 10], [5, 10], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [4, 5], [3, 5], [3, 4]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1)]",[10],"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,8,7,0
2,maxModel8,12,3,12,11,4,7,"[1307, 1308, 1309, 1311, 1313, 1315, 1317, 1319, 1321, 1323, 1324, 1326]","[(4, 7), [4, 6], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [8, 4], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,8,8,90
3,maxModel8,2,3,2,11,8,7,"[1315, 1318, 1323, 1327, 1332, 1335, 1341, 1346, 1353, 1357]","[(8, 7), [7, 7], [6, 7], [6, 6], [6, 5], [6, 4], [5, 4], [5, 3], [4, 3], [3, 3], [2, 3]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[3],"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",1,8,6,270
4,maxModel8,8,4,8,10,14,7,"[1318, 1326, 1332, 1340, 1344, 1347, 1352, 1354, 1358]","[(14, 7), [13, 7], [12, 7], [12, 6], [11, 6], [10, 6], [10, 5], [9, 5], [9, 4], [8, 4]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]","[4, 3]","[0, 0, 0, 1, 0, 1, 0, 1, 0]",2,6,6,270
5,maxModel8,1,4,1,10,8,7,"[1309, 1311, 1316, 1320, 1325, 1331, 1334, 1337, 1340, 1344]","[(8, 7), [8, 6], [7, 6], [7, 5], [7, 4], [6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [1, 4]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0,6,7,270
6,maxModel8,3,5,3,9,11,7,"[1310, 1313, 1315, 1317, 1319, 1323, 1327, 1332, 1336, 1341]","[(11, 7), [10, 7], [10, 6], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5]]","[(-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,4,8,270
7,maxModel8,14,4,14,10,6,7,"[1309, 1309, 1312, 1313, 1315, 1318, 1320, 1321, 1322, 1324, 1325, 1327, 1328]","[(6, 7), [7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4], [13, 3], [13, 4], [14, 4]]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (1, 0)]",[11],"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,6,8,90
8,maxModel8,4,5,4,9,11,7,"[1321, 1325, 1330, 1333, 1337, 1341, 1344, 1346, 1349, 1356, 1359]","[(11, 7), [11, 6], [10, 6], [10, 5], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [4, 5]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[2, 4]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,7,270
9,maxModel8,8,4,8,10,0,7,"[1318, 1323, 1325, 1330, 1334, 1338, 1341, 1343, 1347, 1350, 1356]","[(0, 7), [0, 6], [1, 6], [2, 6], [2, 5], [3, 5], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4]]","[(0, 1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",special,6,8,90
