,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel6,9,5,9,9,3,7,"[1390, 1445, 1448, 1453, 1455, 1457, 1461, 1464, 1468, 1470, 1473, 1475]","[(3, 7), [3, 6], [2, 6], [2, 5], [2, 6], [3, 6], [4, 6], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5]]","[(0, -1), (-1, 0), (0, -1), (0, 1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[2, 4]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2,4,6,90
1,maxModel6,3,10,11,10,7,3,"[1306, 1308, 1311, 1313, 1315, 1318, 1321, 1324, 1326, 1329, 1332, 1334, 1336]","[(7, 3), [6, 3], [5, 3], [6, 3], [6, 4], [6, 5], [5, 5], [4, 5], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10]]","[(-1, 0), (-1, 0), (1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[3],"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",1,8,7,180
2,maxModel6,3,14,11,14,7,6,"[1311, 1314, 1316, 1318, 1321, 1324, 1327, 1329, 1332, 1335, 1337, 1340]","[(7, 6), [7, 7], [8, 7], [8, 8], [8, 9], [9, 9], [10, 9], [11, 9], [11, 10], [11, 11], [11, 12], [11, 13], [11, 14]]","[(0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]",0,8,8,180
3,maxModel6,3,10,11,10,7,4,"[1309, 1311, 1314, 1316, 1319, 1321, 1324, 1326, 1328, 1330, 1333, 1336]","[(7, 4), [6, 4], [5, 4], [5, 5], [5, 6], [5, 7], [4, 7], [4, 8], [3, 8], [3, 9], [2, 9], [3, 9], [3, 10]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (1, 0), (0, 1)]",[10],"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,8,6,180
4,maxModel6,11,4,11,10,5,7,"[1315, 1318, 1325, 1330, 1333, 1341, 1347, 1349, 1351, 1353, 1356, 1359, 1363]","[(5, 7), [5, 6], [6, 6], [6, 5], [5, 5], [5, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4]]","[(0, -1), (1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[6, 4]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,6,90
5,maxModel6,4,4,10,4,7,11,"[1311, 1315, 1317, 1319, 1322, 1327, 1329, 1332, 1334, 1337]","[(7, 11), [8, 11], [9, 11], [9, 10], [9, 9], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [10, 4]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[2, 2, 0, 0, 2, 0, 0, 0, 0, 0]",0,6,7,0
6,maxModel6,5,10,9,10,7,2,"[1312, 1317, 1322, 1326, 1328, 1331, 1334, 1336, 1339, 1341]","[(7, 2), [8, 2], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,4,8,180
7,maxModel6,4,4,10,4,7,12,"[1308, 1311, 1313, 1317, 1320, 1323, 1326, 1328, 1331, 1334, 1337, 1339, 1340]","[(7, 12), [6, 12], [6, 11], [5, 11], [5, 10], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [5, 4], [5, 5], [5, 4], [4, 4]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (-1, 0)]",[11],"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,8,0
8,maxModel6,1,5,1,9,8,7,"[1311, 1313, 1316, 1318, 1321, 1324, 1328, 1330, 1334, 1337, 1339, 1343, 1345]","[(8, 7), [8, 8], [8, 9], [7, 9], [6, 9], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [1, 9]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[7, 5]","[2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",2,4,7,270
9,maxModel6,8,4,8,10,0,7,"[1311, 1316, 1318, 1321, 1323, 1326, 1329, 1332, 1336, 1338, 1342]","[(0, 7), [1, 7], [1, 6], [1, 5], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4]]","[(1, 0), (0, 1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[2],"[0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0]",special,6,8,90
