,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel36,8,5,8,9,2,7,"[1444, 1449, 1454, 1458, 1461, 1463, 1467, 1471, 1476, 1483]","[(2, 7), [2, 6], [3, 6], [3, 5], [3, 4], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 4]","[2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,4,6,90
1,maxModel36,3,9,11,9,7,2,"[1305, 1306, 1308, 1308, 1310, 1311, 1313, 1314, 1315, 1316, 1318]","[(7, 2), [7, 3], [7, 4], [8, 4], [8, 5], [8, 6], [9, 6], [9, 7], [9, 8], [9, 9], [10, 9], [11, 9]]","[(0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[9],"[0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 2]",1,8,7,180
2,maxModel36,3,13,11,13,7,5,"[1310, 1312, 1314, 1320, 1323, 1328, 1332, 1335, 1338, 1342, 1345, 1349]","[(7, 5), [6, 5], [6, 6], [6, 7], [5, 7], [5, 8], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13]]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[],"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0,8,8,180
3,maxModel36,12,3,12,11,6,7,"[1312, 1315, 1318, 1323, 1326, 1331, 1334, 1337, 1340, 1344, 1348, 1352]","[(6, 7), [6, 6], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [10, 4], [10, 3], [11, 3], [11, 4], [12, 4], [12, 3]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, 1), (1, 0), (0, -1)]",[10],"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",1,8,6,90
4,maxModel36,4,10,10,10,7,4,"[1304, 1306, 1306, 1307, 1309, 1309, 1311, 1312, 1313, 1314, 1316, 1318, 1320]","[(7, 4), [7, 5], [7, 4], [7, 5], [7, 6], [7, 5], [8, 5], [8, 6], [8, 7], [8, 8], [9, 8], [9, 9], [9, 10], [10, 10]]","[(0, 1), (0, -1), (0, 1), (0, 1), (0, -1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0)]","[5, 2]","[0, 1, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2]",2,6,6,180
5,maxModel36,4,7,10,7,7,14,"[1316, 1319, 1323, 1326, 1331, 1334, 1337, 1340, 1343, 1346]","[(7, 14), [7, 13], [6, 13], [6, 12], [5, 12], [5, 11], [5, 10], [4, 10], [4, 9], [4, 8], [4, 7]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",0,6,7,0
6,maxModel36,5,8,9,8,7,0,"[1315, 1320, 1325, 1328, 1331, 1334, 1337, 1339, 1342, 1346]","[(7, 0), [8, 0], [9, 0], [9, 1], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,4,8,180
7,maxModel36,4,14,10,14,7,6,"[1312, 1315, 1317, 1321, 1324, 1327, 1331, 1334, 1337, 1340, 1343, 1346, 1348]","[(7, 6), [7, 5], [7, 6], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [10, 14]]","[(0, -1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[1],"[1, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",1,6,8,180
8,maxModel36,5,5,9,5,7,12,"[1308, 1309, 1311, 1312, 1314, 1315, 1317, 1318, 1319, 1320, 1322]","[(7, 12), [6, 12], [5, 12], [5, 11], [5, 10], [5, 9], [5, 8], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1)]","[1, 7]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,7,0
9,maxModel36,4,3,10,3,7,11,"[1315, 1318, 1323, 1326, 1329, 1332, 1335, 1338, 1341, 1344, 1348]","[(7, 11), [6, 11], [5, 11], [5, 10], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5], [4, 4], [4, 3]]","[(1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[1],"[2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",special,6,8,0
