,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,maxModel27,6,5,6,9,0,7,"[1541, 1609, 1610, 1612, 1613, 1615, 1617, 1619, 1621, 1622]","[(0, 7), [0, 6], [0, 6], [0, 6], [1, 6], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5]]","[(0, -1), (-1, 0), (-1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[3, 2]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2,4,6,90
1,maxModel27,2,3,2,11,9,7,"[1312, 1317, 1321, 1325, 1329, 1334, 1338, 1342, 1346, 1350, 1355, 1359, 1363]","[(9, 7), [10, 7], [10, 6], [10, 5], [10, 4], [10, 3], [9, 3], [8, 3], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3], [2, 3]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[1],"[2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,8,7,270
2,maxModel27,3,3,11,3,7,11,"[1314, 1319, 1327, 1332, 1336, 1341, 1346, 1354, 1359, 1362, 1366, 1370]","[(7, 11), [8, 11], [8, 10], [9, 10], [9, 9], [9, 8], [10, 8], [10, 7], [11, 7], [11, 6], [11, 5], [11, 4], [11, 3]]","[(1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0]",0,8,8,0
3,maxModel27,9,3,9,11,3,7,"[1308, 1311, 1312, 1313, 1315, 1317, 1318, 1321, 1324, 1327]","[(3, 7), [4, 7], [4, 8], [4, 9], [4, 10], [5, 10], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[1, 2, 2, 2, 0, 2, 0, 0, 0, 0]",1,8,6,90
4,maxModel27,5,4,5,10,11,7,"[1313, 1316, 1322, 1326, 1329, 1333, 1336, 1340, 1345, 1349, 1351, 1355, 1360]","[(11, 7), [12, 7], [12, 6], [13, 6], [12, 6], [12, 5], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4]]","[(1, 0), (0, -1), (1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[1, 3]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",2,6,6,270
5,maxModel27,0,4,0,10,7,7,"[1313, 1316, 1321, 1323, 1327, 1330, 1335, 1338, 1342, 1348]","[(7, 7), [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [4, 10], [3, 10], [2, 10], [1, 10], [0, 10]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 2, 2, 2, 0, 0, 0, 0, 0, 0]",0,6,7,270
6,maxModel27,5,12,9,12,7,4,"[1313, 1316, 1319, 1326, 1330, 1334, 1338, 1342, 1348, 1352]","[(7, 4), [6, 4], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,4,8,180
7,maxModel27,4,4,4,10,12,7,"[1314, 1319, 1327, 1331, 1335, 1339, 1345, 1350, 1353, 1356, 1358, 1362, 1366]","[(12, 7), [12, 6], [11, 6], [11, 5], [10, 5], [9, 5], [8, 5], [8, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[8],"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,6,8,270
8,maxModel27,6,5,6,9,13,7,"[1313, 1317, 1321, 1326, 1328, 1333, 1341, 1344, 1348, 1353, 1358]","[(13, 7), [12, 7], [12, 6], [11, 6], [11, 5], [10, 5], [10, 4], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[1, 6]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,4,7,270
9,maxModel27,8,4,8,10,0,7,"[1321, 1324, 1329, 1334, 1338, 1346, 1350, 1354, 1359, 1363, 1370]","[(0, 7), [0, 6], [0, 5], [1, 5], [2, 5], [3, 5], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4]]","[(0, 1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",special,6,8,90
